timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699366755235,342,click My Info-42,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,22024,867,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPersonalDetails/empNumber/7,342,0,0
1699366755577,574,click My Info-44,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,101754,751,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,310,0,0
1699366756151,786,click My Info-45,200,OK,jp@gc - Ultimate Thread Group 1-1,bin,true,,159575,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPhoto/empNumber/7,334,0,0
1699366756937,227,click My Info-48,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1131,728,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/workweek?model=indexed,227,0,0
1699366757165,226,click My Info-46,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1204,715,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7,226,0,0
1699366757392,277,click My Info-49,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1236,807,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/custom-fields?screen=personal,277,0,0
1699366757669,228,click My Info-47,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1497,794,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/personal-details,228,0,0
1699366757897,251,click My Info-50,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1133,823,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/screen/personal/attachments?limit=50&offset=0,251,0,0
1699366758148,227,click My Info-52,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,2910,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/holidays?fromDate=2023-01-01&toDate=2023-12-31,227,0,0
1699366758376,224,click My Info-53,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1131,728,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/workweek?model=indexed,224,0,0
1699366758600,300,click My Info-54,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,6994,713,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees,300,0,0
1699366758900,213,click My Info-55,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,2910,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/holidays?fromDate=2023-01-01&toDate=2023-12-31,213,0,0
1699366755549,3644,click My Info,200,"Number of samples in transaction : 13, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,327300,10898,5,5,null,0,6,0
1699366755550,559,click My Info-39,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,23808,1716,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPersonalDetails/empNumber/7,187,0,0
1699366755550,187,click My Info-39-0,302,Found,jp@gc - Ultimate Thread Group 1-2,text,true,,1784,849,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewMyDetails,187,0,0
1699366755737,372,click My Info-39-1,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,22024,867,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPersonalDetails/empNumber/7,372,0,0
1699366756109,272,click My Info-42,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,22024,867,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPersonalDetails/empNumber/7,269,0,0
1699366756381,313,click My Info-44,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,101754,751,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,201,0,0
1699366756694,398,click My Info-45,200,OK,jp@gc - Ultimate Thread Group 1-2,bin,true,,159568,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPhoto/empNumber/7,232,0,0
1699366757092,225,click My Info-48,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1131,728,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/workweek?model=indexed,225,0,0
1699366757317,226,click My Info-46,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1204,715,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7,226,0,0
1699366757544,231,click My Info-49,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1236,807,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/custom-fields?screen=personal,231,0,0
1699366757775,230,click My Info-47,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1497,794,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/personal-details,229,0,0
1699366758005,221,click My Info-50,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1133,823,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/screen/personal/attachments?limit=50&offset=0,221,0,0
1699366758227,224,click My Info-52,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,2910,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/holidays?fromDate=2023-01-01&toDate=2023-12-31,224,0,0
1699366758452,226,click My Info-53,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1131,728,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/workweek?model=indexed,226,0,0
1699366758678,304,click My Info-54,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6994,713,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees,304,0,0
1699366758983,215,click My Info-55,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,2910,752,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/leave/holidays?fromDate=2023-01-01&toDate=2023-12-31,215,0,0
1699366760115,263,Save,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,1497,1188,5,5,null,0,0,0
1699366760115,263,Save-59,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1497,1188,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/personal-details,263,0,0
1699366760199,292,Save,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,1497,1188,5,5,null,0,0,0
1699366760199,292,Save-59,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1497,1188,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees/7/personal-details,292,0,0
1699366761379,687,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,32914,2476,5,5,null,0,1,0
1699366761379,163,Logout-62,200,OK,jp@gc - Ultimate Thread Group 1-1,,true,,26665,751,5,5,https://opensource-demo.orangehrmlive.com/web/dist/fonts/nunito-sans-v6-latin-ext_latin-300.woff2,163,0,0
1699366761543,524,Logout-63,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,6249,1725,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,288,0,0
1699366761543,288,Logout-63-0,302,Found,jp@gc - Ultimate Thread Group 1-1,text,true,,1761,863,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/logout,288,0,0
1699366761832,235,Logout-63-1,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,4488,862,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,235,0,0
1699366761492,625,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,32921,2476,5,5,null,0,1,0
1699366761492,134,Logout-62,200,OK,jp@gc - Ultimate Thread Group 1-2,,true,,26665,751,5,5,https://opensource-demo.orangehrmlive.com/web/dist/fonts/nunito-sans-v6-latin-ext_latin-300.woff2,134,0,0
1699366761627,491,Logout-63,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6256,1725,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,242,0,0
1699366761627,242,Logout-63-0,302,Found,jp@gc - Ultimate Thread Group 1-2,text,true,,1761,863,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/logout,242,0,0
1699366761869,249,Logout-63-1,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,4495,862,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,249,0,0
1699366762153,803,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,106213,1547,5,5,null,0,1,189
1699366762154,421,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,4482,821,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,421,0,189
1699366762575,382,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,101731,726,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,263,0,0
1699366763294,831,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,106210,1547,5,5,null,0,1,200
1699366763295,431,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,4487,821,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,431,0,200
1699366763726,400,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,101723,726,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,278,0,0
